LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2025,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2025,Developed,27627.39,27007.225,28134.25
BAU,CanESM2,rcp45,2025,Forest,155490.66,155305.77500000002,155645.525
BAU,CanESM2,rcp45,2025,Grassland,45212.76,44847.925,45653.05
BAU,CanESM2,rcp45,2025,Shrubland,110861.11,110696.9,111057.15
BAU,CanESM2,rcp45,2025,SnowIce,28,28,28
BAU,CanESM2,rcp45,2025,Water,18655,18655,18655
BAU,CanESM2,rcp45,2025,Wetland,2704.42,2652.75,2747.575
BAU,CanESM2,rcp45,2026,Agriculture,44029.89,43709.075,44357.525
BAU,CanESM2,rcp45,2026,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2026,Developed,27805.35,27206.05,28266
BAU,CanESM2,rcp45,2026,Forest,155456.27,155289.1,155613.725
BAU,CanESM2,rcp45,2026,Grassland,45161.85,44792,45577.05
BAU,CanESM2,rcp45,2026,Shrubland,110819.55,110678,111013.35
BAU,CanESM2,rcp45,2026,SnowIce,28,28,28
BAU,CanESM2,rcp45,2026,Water,18655,18655,18655
BAU,CanESM2,rcp45,2026,Wetland,2701.09,2646.85,2744.625
BAU,CanESM2,rcp45,2027,Agriculture,43977.97,43620.975000000006,44299.55
BAU,CanESM2,rcp45,2027,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2027,Developed,27987.07,27315.275,28506.25
BAU,CanESM2,rcp45,2027,Forest,155417.72,155232.85,155582.725
BAU,CanESM2,rcp45,2027,Grassland,45115.27,44762.475,45572.55
BAU,CanESM2,rcp45,2027,Shrubland,110775.93,110617.375,110981
BAU,CanESM2,rcp45,2027,SnowIce,28,28,28
BAU,CanESM2,rcp45,2027,Water,18655,18655,18655
BAU,CanESM2,rcp45,2027,Wetland,2700.04,2648.4750000000004,2744.1000000000004
BAU,CanESM2,rcp45,2028,Agriculture,43924.12,43560.425,44295.35
BAU,CanESM2,rcp45,2028,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2028,Developed,28150.08,27449,28741.925
BAU,CanESM2,rcp45,2028,Forest,155386.4,155194.95,155573.875
BAU,CanESM2,rcp45,2028,Grassland,45076.88,44650.05,45533
BAU,CanESM2,rcp45,2028,Shrubland,110737.69,110551.125,110968
BAU,CanESM2,rcp45,2028,SnowIce,28,28,28
BAU,CanESM2,rcp45,2028,Water,18655,18655,18655
BAU,CanESM2,rcp45,2028,Wetland,2698.83,2644.425,2748.5249999999996
BAU,CanESM2,rcp45,2029,Agriculture,43883.29,43509,44272.125
BAU,CanESM2,rcp45,2029,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2029,Developed,28333.87,27641,28926.35
